run_index,control_rod_height_cm,enrichment,pin_pitch_cm,k_effective_mean,k_effective_std
0,0.0,0.03,1.1,0.1860055696399529,0.0009729497935671528
1,0.0,0.03,1.26,0.13652616089952438,0.0009453466093457904
2,0.0,0.03,1.42,0.10536236397608496,0.0008697308742136609
3,0.0,0.045,1.1,0.2150310753126846,0.0014330566291943453
4,0.0,0.045,1.26,0.15522697429039872,0.0009244987846341284
5,0.0,0.045,1.42,0.12117015235897781,0.0007908751217565068
6,0.0,0.07,1.1,0.26410531557887384,0.001715297598300199
7,0.0,0.07,1.26,0.18697331745615156,0.0008427504834576042
8,0.0,0.07,1.42,0.14594562419250204,0.0014308298006199141
9,6.666666666666667,0.03,1.1,0.5384181716970622,0.006055628517323597
10,6.666666666666667,0.03,1.26,0.6061871102738193,0.00597178193256226
11,6.666666666666667,0.03,1.42,0.6300789113394737,0.007259949618932014
12,6.666666666666667,0.045,1.1,0.5993648344885111,0.00510857415155864
13,6.666666666666667,0.045,1.26,0.6635906059833531,0.005369252458087426
14,6.666666666666667,0.045,1.42,0.6928086917800795,0.006226085819009935
15,6.666666666666667,0.07,1.1,0.6834529573203469,0.005313052407695936
16,6.666666666666667,0.07,1.26,0.7225791603002985,0.005767279845527341
17,6.666666666666667,0.07,1.42,0.7688650166500657,0.006797924650909296
18,13.333333333333334,0.03,1.1,0.8649939056384272,0.008399470583352928
19,13.333333333333334,0.03,1.26,0.9667494878933364,0.006334795264616229
20,13.333333333333334,0.03,1.42,0.9962903483642692,0.005801713234358296
21,13.333333333333334,0.045,1.1,0.924482942998435,0.006040536885342128
22,13.333333333333334,0.045,1.26,1.0330902864797948,0.006960711786146043
23,13.333333333333334,0.045,1.42,1.0858088598743139,0.006059995418091317
24,13.333333333333334,0.07,1.1,0.9970087596011933,0.004882937977031906
25,13.333333333333334,0.07,1.26,1.0911622220453208,0.006958724314835603
26,13.333333333333334,0.07,1.42,1.1513831528343978,0.006039542782737788
27,20.0,0.03,1.1,1.0168526468991048,0.008608863310991297
28,20.0,0.03,1.26,1.123391595580279,0.006342850500055936
29,20.0,0.03,1.42,1.1644127911428885,0.005575292314165999
30,20.0,0.045,1.1,1.0712840742692584,0.007170385947782121
31,20.0,0.045,1.26,1.183653555343154,0.005132743675972657
32,20.0,0.045,1.42,1.245334607297634,0.004740764991674058
33,20.0,0.07,1.1,1.1361137251436333,0.0057590279372879884
34,20.0,0.07,1.26,1.2647817544543598,0.005885233362450889
35,20.0,0.07,1.42,1.3049467878298202,0.006581389078110629
36,26.666666666666668,0.03,1.1,1.0958165421287567,0.00549018260428028
37,26.666666666666668,0.03,1.26,1.2018723145058243,0.006881559226178269
38,26.666666666666668,0.03,1.42,1.2336495059692936,0.006331759760823139
39,26.666666666666668,0.045,1.1,1.157430904805882,0.006269238397063457
40,26.666666666666668,0.045,1.26,1.2671968042823947,0.005842615348205686
41,26.666666666666668,0.045,1.42,1.3200142864991042,0.005351609687387871
42,26.666666666666668,0.07,1.1,1.2040451897218505,0.006428679115690062
43,26.666666666666668,0.07,1.26,1.3315640109732547,0.006258630270712879
44,26.666666666666668,0.07,1.42,1.4026052520426748,0.007242934406703425
45,33.333333333333336,0.03,1.1,1.1234480610388617,0.007054233704440401
46,33.333333333333336,0.03,1.26,1.2366647489715061,0.006869344993427172
47,33.333333333333336,0.03,1.42,1.2893146586205446,0.006923008303331688
48,33.333333333333336,0.045,1.1,1.187051557365832,0.005130240361704339
49,33.333333333333336,0.045,1.26,1.3225448108979183,0.004439202476201614
50,33.333333333333336,0.045,1.42,1.3507607356353926,0.008519555211206705
51,33.333333333333336,0.07,1.1,1.2442238817175886,0.005294372166020526
52,33.333333333333336,0.07,1.26,1.376789389469917,0.00575427336988795
53,33.333333333333336,0.07,1.42,1.441033849278441,0.007572729949855741
54,40.0,0.03,1.1,1.157328391630779,0.005453693507500658
55,40.0,0.03,1.26,1.2573535329519903,0.0063176414454118
56,40.0,0.03,1.42,1.3127090109078385,0.007825563555576105
57,40.0,0.045,1.1,1.215137421491969,0.006874101194525121
58,40.0,0.045,1.26,1.3378838392136527,0.008113688176025074
59,40.0,0.045,1.42,1.3995982752184832,0.0076192069361373
60,40.0,0.07,1.1,1.2811935497208342,0.005441896533494248
61,40.0,0.07,1.26,1.4009046888103593,0.005211161014274826
62,40.0,0.07,1.42,1.4587087450795468,0.006079744884036548
63,46.66666666666667,0.03,1.1,1.1690463451343536,0.0064553356138901405
64,46.66666666666667,0.03,1.26,1.2785424116968933,0.004578621848268658
65,46.66666666666667,0.03,1.42,1.3412722002464341,0.007095676026032357
66,46.66666666666667,0.045,1.1,1.2371847380735506,0.005403541540355239
67,46.66666666666667,0.045,1.26,1.3587503809047752,0.005167312617770601
68,46.66666666666667,0.045,1.42,1.4131350085474346,0.0073187892110707755
69,46.66666666666667,0.07,1.1,1.2896232737816866,0.006624676486121641
70,46.66666666666667,0.07,1.26,1.4140826860666647,0.006127821172925236
71,46.66666666666667,0.07,1.42,1.493573190122929,0.005060265937440183
72,53.333333333333336,0.03,1.1,1.1858673320846478,0.004772047785066066
